participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,session.config.development,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.ES_wtp3_bounds,welfare.1.player.Trad_wtp3_bounds,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.gender,welfare.1.player.ethnic,welfare.1.player.age,welfare.1.player.education,welfare.1.player.marital,welfare.1.player.income,welfare.1.player.percentProlific,welfare.1.player.state,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.ES_wtp3_bounds,welfare.2.player.Trad_wtp3_bounds,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.gender,welfare.2.player.ethnic,welfare.2.player.age,welfare.2.player.education,welfare.2.player.marital,welfare.2.player.income,welfare.2.player.percentProlific,welfare.2.player.state,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
1,3810wkls,,0,13,26,welfare,Redirect,2023-07-25 20:45:18.600838,1,,,0.0,1,,,1,1,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,1,,0.0,1,3,3,2,1,,,,,,,,,,,0,OIDJF:SOIFJS,0,3,1,I don't really care,,,,,,4,3,4,8,5,3,4,4,,10,10,10,10,0,0,0,0,0,0,1,0,0,0,0,1,1,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
2,lj229hnm,,0,13,26,welfare,Redirect,2023-07-25 20:46:31.730172,1,,,0.0,1,true,false,0,1,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,2,,0.0,1,3,1,2,1,,1,,1,NA,"{""history"":[],""cutoff"":""left:4""}",,1,,,0,w,0,w,1,w,,,,,,4,1,6,4,4,0,3,3,,10,10,10,10,0,0,0,0,0,1,0,0,0,0,0,1,1,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
3,9ct8lfji,,0,13,26,welfare,Redirect,2023-07-25 20:47:36.977868,1,,,0.0,1,true,false,1,1,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,3,,0.0,1,3,1,2,1,,1,,1,NA,"{""history"":[],""cutoff"":""right:3""}",,1,,,0,wwwwww,0,w,1,w,,,,,,4,3,4,5,5,4,2,3,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
4,hlmab3y2,,0,26,26,welfare,Redirect,2023-07-25 20:48:56.696876,1,,,0.0,1,,,0,2,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,4,,0.0,2,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,1,4,,0.0,,1,2,2,1,2,1,2,1,,,,,,,0,dddfasdf,0,asdfasdf,0,df,,,,,,4,3,2,6,1,0,3,6,d,10,10,10,10,0,0,0,0,0,1,1,0,1,0,0,1,2
5,k8oh17df,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
6,y9zg31zd,,0,0,26,,,,0,,,0.0,,,,0,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
7,ufzxc05f,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
8,7pjfrjip,,0,0,26,,,,0,,,0.0,,,,0,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
9,66i7vac7,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
10,fts070qk,,0,0,26,,,,0,,,0.0,,,,0,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
11,1lrbwtrr,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
12,fmzigu9d,,0,0,26,,,,0,,,0.0,,,,0,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
13,7h6c0tzj,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
14,ttox8aia,,0,0,26,,,,0,,,0.0,,,,0,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
15,4vs6aq46,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
16,pv9k4b80,,0,0,26,,,,0,,,0.0,,,,0,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
17,sh4r4kfk,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
18,y06w66wd,,0,0,26,,,,0,,,0.0,,,,0,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
19,ju6cbddh,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
20,tzev0qct,,0,0,26,,,,0,,,0.0,,,,0,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,20,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,20,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
21,4f4eu7yq,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
22,3hn5bgmy,,0,0,26,,,,0,,,0.0,,,,0,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
23,9i2buji8,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
24,ww8j5q04,,0,0,26,,,,0,,,0.0,,,,0,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,24,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,24,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
25,4uh5rg1j,,0,0,26,,,,0,,,0.0,,,,1,,3hzbaowl,,,,,0,3.0,welfare,1.0,0,,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
