participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.name,session.config.development,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.gender,welfare.1.player.ethnic,welfare.1.player.age,welfare.1.player.education,welfare.1.player.marital,welfare.1.player.income,welfare.1.player.percentProlific,welfare.1.player.state,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.gender,welfare.2.player.ethnic,welfare.2.player.age,welfare.2.player.education,welfare.2.player.marital,welfare.2.player.income,welfare.2.player.percentProlific,welfare.2.player.state,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
1,j64hy8v3,,0,34,34,welfare,Redirect,2023-07-26 14:43:43.402872,1,,,0.0,1,true,true,1,1,1690382623.414173,1690382721.5705888,axwn0hu9,,,,,0,3.0,1.0,welfare,0,,1,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:4""}","{""history"":[],""cutoff"":""left:5""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0.0,,,,,,,,,,,,,,0,d,1,d,1,d,,,,,,,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,1,2
2,zqjg0kos,,0,34,34,welfare,Redirect,2023-07-26 14:45:25.772384,1,,,0.0,1,,,0,1,1690382725.822846,1690382782.735681,axwn0hu9,,,,,0,3.0,1.0,welfare,0,,2,,0.0,1,3,3,2,1,,,,,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,2,2,2,0,0,0,0,0,0,0,0,1,1,2,,0.0,,,,,,,,,,,,,,0,w,0,w,0,w,,,,,,,,,,,,,,,4,6,8,10,0,0,0,0,0,0,0,0,0,0,0,1,2
3,7hokeghy,,0,34,34,welfare,Redirect,2023-07-26 14:46:25.941724,1,,,0.0,1,,,1,1,1690382785.990029,1690382849.617532,axwn0hu9,,,,,0,3.0,1.0,welfare,0,,3,,0.0,1,2,2,2,1,1,2,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,3,,0.0,,,,,,,,,,,,,,0,w,0,w,1,w,,,,,,,,,,,,,,,1,10,1,9,0,0,0,0,0,0,0,0,0,0,0,1,2
4,s7gmturb,,0,34,34,welfare,Redirect,2023-07-26 14:47:32.819036,1,,,0.0,1,false,true,0,2,1690382852.8664021,1690382945.372729,axwn0hu9,,,,,0,3.0,1.0,welfare,0,,4,,0.0,2,3,3,2,1,,,,,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,4,4,0,0,1,0,0,0,0,0,1,1,4,,0.0,,1,3,2,1,1,,2,,"{""history"":[],""cutoff"":""left:5""}",NA,2,,0,w,0,w,0,w,,,,,,,,,,,,,,,5,8,10,8,0,0,0,0,0,1,1,1,0,1,0,1,2
5,41u3a2td,,0,34,34,welfare,Redirect,2023-07-26 14:49:29.975299,1,,,0.0,1,true,false,1,1,1690382970.027231,1690383039.198637,axwn0hu9,,,,,0,3.0,1.0,welfare,0,,5,,0.0,1,3,1,2,1,,1,,1,NA,"{""history"":[],""cutoff"":""left:3""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,5,,0.0,,,,,,,,,,,,,,0,q,0,q,0,q,,,,,,,,,,,,,,q,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,1,2
6,vggwwq6r,,0,0,34,,,,0,,,0.0,,,,0,,,,axwn0hu9,,,,,0,3.0,1.0,welfare,0,,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
7,f9bivqxa,,0,0,34,,,,0,,,0.0,,,,1,,,,axwn0hu9,,,,,0,3.0,1.0,welfare,0,,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
8,3a4jmedp,,0,0,34,,,,0,,,0.0,,,,0,,,,axwn0hu9,,,,,0,3.0,1.0,welfare,0,,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
9,bjcn8f7t,,0,0,34,,,,0,,,0.0,,,,1,,,,axwn0hu9,,,,,0,3.0,1.0,welfare,0,,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
10,fmai7838,,0,0,34,,,,0,,,0.0,,,,0,,,,axwn0hu9,,,,,0,3.0,1.0,welfare,0,,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
