participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.development,session.config.name,session.config.participation_fee,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.gender,welfare.1.player.ethnic,welfare.1.player.age,welfare.1.player.education,welfare.1.player.marital,welfare.1.player.income,welfare.1.player.percentProlific,welfare.1.player.state,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.gender,welfare.2.player.ethnic,welfare.2.player.age,welfare.2.player.education,welfare.2.player.marital,welfare.2.player.income,welfare.2.player.percentProlific,welfare.2.player.state,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
1,lvo1en1k,600b867e297f072364af7a99,0,35,36,welfare,End,2023-07-27 14:15:21.793072,1,,,0.0,,true,false,1,1,1690467323.9720807,,doale3ve,,,,,0,1.0,0,welfare,3.0,,1,,0.0,1,3,1,2,1,,1,,1,NA,"{""history"":[],""cutoff"":""left:5""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690467611.3602486,1690467696.4963508,1690467752.8182676,1690467843.0949605,1690467890.6726432,1690467925.8539708,,1,1,1,,0.0,,,,,,,,,,,,,,1,"Simulated reality like described has sort of been kind of an interest of mine ever since I saw The Matrix or Ready Player one. It honestly sounds really cool, and lets me live out my fantasies. I just want to do things that I would not otherwise be able to do. That appeals to me on some level. ",0,"I think John should at least know or be told. I mean at least with actual real-life taxes we sort of know where our money goes. But placing a specific levy on specific people sounds dirty, and people effected should be told. ",0,Being a victim of fraud like this is pretty low and awful. I don't wish it on anyone. ,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690467982.86971,1,2
2,gnmb6nwk,6138c06bd7d7f2b7720e7a27,0,36,36,welfare,Finished,2023-07-27 14:16:29.180203,1,,,0.0,1,,,0,1,1690467390.65997,1690467818.3112245,doale3ve,,,,,0,1.0,0,welfare,3.0,,2,,0.0,1,2,1,2,1,1,2,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,1,2,0,1,1,1,0,0,1690467476.7392428,1690467509.0081298,1690467523.6102436,,,1690467533.4260936,,1,1,2,,0.0,,,,,,,,,,,,,,1,I think yes. It makes me more experienced.,1,I think its right.,1,I think its more better.,,,,,,,,,,,,,,No comments.,9,7,7,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690467541.6659818,1,2
3,00uradf1,614ee4370d85f20de1b9548f,0,35,36,welfare,End,2023-07-27 14:21:19.476020,1,,,0.0,,,,1,1,1690467683.1200929,,doale3ve,,,,,0,1.0,0,welfare,3.0,,3,,0.0,1,2,3,2,1,2,,2,,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,1690468135.1393304,1690468172.8729644,1690468186.8227627,,,1690468199.7361555,,1,1,3,,0.0,,,,,,,,,,,,,,1,Yes I will go. Cause it makes me experienced.,0,I think Yes.,1,Yes this person more than better.,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690468222.0089216,1,2
4,opezqny5,6266a888ce0c626836c91bc6,0,1,36,welfare,Welcome,2023-07-27 14:26:49.856622,1,,,0.0,,,,0,,1690468062.166674,,doale3ve,,,,,0,1.0,0,welfare,3.0,,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
5,8q9dl7b6,636694f5d3b82c1a8279cf72,0,2,36,welfare,Consent,2023-07-27 14:31:42.244011,1,,,0.0,,,,1,,1690468308.5694642,,doale3ve,,,,,0,1.0,0,welfare,3.0,,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
6,mfdgepju,5d4b14caed2dfc0001a22c1a,0,4,36,welfare,EconomicsFan,2023-07-27 14:31:51.559406,1,,,0.0,,,,0,,1690468337.4051287,,doale3ve,,,,,0,1.0,0,welfare,3.0,,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
7,gclbvz1f,5f5d25e5b17ec4562931508f,0,1,36,welfare,Welcome,2023-07-27 14:33:47.748851,1,,,0.0,,,,1,,1690468512.4785097,,doale3ve,,,,,0,1.0,0,welfare,3.0,,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
8,rylxhtlo,5de83f3b3aa615000a41f831,0,36,36,welfare,Finished,2023-07-27 14:34:33.272944,1,,,0.0,1,true,true,0,1,1690468710.6682453,1690470816.0433009,doale3ve,,,,,0,1.0,0,welfare,3.0,,8,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:7""}","{""history"":[],""cutoff"":""left:7""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690469802.0413084,1690469942.1135964,1690469986.783927,1690470025.573064,1690470087.8931375,1690470109.4676673,,1,1,8,,0.0,,,,,,,,,,,,,,0,"Although I would like to plug into the experience machine, I am concerned about the length of long the experience and the consequences of plugging into the machine. So, I would not choose the simulation.",0,John is worse off because he lost $100.,0,The person who got the original drawing will never be able to prove that his drawing is more valuable than the others.,,,,,,,,,,,,,,I do not wish to add a comment.,2,7,5,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690470119.843079,1,2
9,zk1paahe,5e59feea5bb31220840c12c6,0,0,36,,,,1,,,0.0,,,,1,,,,doale3ve,,,,,0,1.0,0,welfare,3.0,,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
10,1r7hio2r,5bcded8f2d94a8000133e068,0,0,36,,,,1,,,0.0,,,,0,,,,doale3ve,,,,,0,1.0,0,welfare,3.0,,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
