participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,participant.treatment,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.MPLWhy,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.cq6_treatments,welfare.1.player.cq6_ambiguous,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.cq6_ambiguous_mistakes,welfare.1.player.cq6_treatments_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.MPLWhy,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.cq6_treatments,welfare.2.player.cq6_ambiguous,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.cq6_ambiguous_mistakes,welfare.2.player.cq6_treatments_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
1,6m4ffqj7,56d9f54b610fc0000bb76e8d,0,36,36,welfare,Finished,2023-07-31 17:46:54.556924,1,,,0.0,1,false,true,1,1,1690825614.677062,1690826739.6397483,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,1,,0.0,1,1,3,2,1,1,,2,,"{""history"":[""left:4"",""left:8"",""left:0""],""cutoff"":""right:0""}",NA,2,,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1690825899.84019,1690825952.0117521,1690825989.875568,1690826028.189385,1690826062.2816205,1690826112.6974094,,1,1,1,,0.0,,,,,,,,,,,,,,No particular reason.  Why not pay the man as much as you can for participating.,1,"Why not? But how would you know it's not real?  Aren't you aware that you are participating and being plugged into a machine?  Would have to wipe your memory of the experience.  Yes, I overthink. :)",0,More information needed about how the funds would be spent.  And now John is out $100 without knowing what it did..,0,"Only because there is absolutely no way to tell them apart.  Now if you could, obviously much better off satisfaction wise knowing you got the real deal.",,,,,,,,"I do have adult ADHD, so that explains the overthinking:-)",10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690826171.3680692,1,2
2,l46t7ght,6296f6b50fbeeb28c63800df,0,36,36,welfare,Finished,2023-07-31 17:57:15.863150,1,,,0.0,1,true,true,0,1,1690826235.9427674,1690827249.8949156,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,2,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690826370.670279,1690826393.7566338,1690826419.8678362,1690826437.8456337,1690826502.903097,1690826510.3460588,,1,1,2,,0.0,,,,,,,,,,,,,,"I thought about picking a threshold where he should get money and the fake notes in the case where Alex will not learn whether or not they are real, but something just felt extremely wrong about that to me. The idea of a forged note from the author just felt so bizarrely repellent to me that I didn't think anyone should be given such a gift. In the case where he does know, I was going to pick the original notes no matter what, but I did consider picking the fake notes for the case where he doesn't know.",0,I don't want to be able to just miraculously have whatever experiences I want. They would lose value for me.,0,"He has just lost money for seemingly no reason, so he probably feels worse in addition to having less money. If the government told him that that is what the taxes were for, I think he would be fine.",0,"If it is indistinguishable from the copies which are all worth $250, it can't be ""worth $20k"" anymore. If you can't pick it out of a lineup how can it possibly have a different value?",,,,,,,,,10,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690826779.9452507,1,2
3,dwdexxss,55d4cb9158c35800113dc22e,0,36,36,welfare,Finished,2023-07-31 17:57:19.955845,1,,,0.0,1,true,true,1,2,1690826240.017131,1690827257.2760098,high,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,3,,0.0,2,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:8""}","{""history"":[],""cutoff"":""right:11""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1690826424.624745,1690826469.5497317,1690826489.1575513,1690826508.5006356,1690826555.442179,1690826572.4812562,,1,1,3,,0.0,,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:6""}","{""history"":[""right:7"",""right:8""],""cutoff"":""right:7""}",2,1,"I wanted Alex to receive the original notes because he admires the authors and loves the subject matter. I thought that if he knew and that more likely than not he would get an original note, the bonus wouldn't matter as much. ",0," Even if I thought it was real, it didn't happen and once I'm out of the machine things in my life are going to trigger that the experience really didn't happen. I don't want to experience the aftermath. ",1,It makes him better off because his contribution helped others even if he never found out about it. ,0,Their assumption is that they bought the original to begin with. It wouldn't put them in a better or worse position.,,,,,,,,I thought the instructions were clear. ,10,10,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,1690826590.0405087,1690826604.075475,1690826608.246161,1690826647.9126804,,1690826767.1586807,1,2
4,p76xrnib,57d88513995a0b0001635002,0,36,36,welfare,Finished,2023-07-31 17:58:41.279645,1,,,0.0,1,true,false,0,1,1690826321.4127793,1690827605.8696704,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,4,,0.0,1,1,1,2,1,2,1,2,1,NA,"{""history"":[],""cutoff"":""right:6""}",,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690826964.6631224,1690827026.2035527,1690827057.224246,1690827089.7217426,1690827134.2466774,1690827158.2578719,,1,1,4,,0.0,,,,,,,,,,,,,,"He will not be able to determine if the notes are real or fake, therefore, we only need to give them the real notes when we have to tell him they are real.",1,That experience would be intense and I would not want to get out afterwards.,0,Financially he would lose $100,1,The original is authentic and values more.,,,,,,,,None,10,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827335.9928064,1,2
5,bcc78ca1,594936ad4152bf0001bfd5cd,0,36,36,welfare,Finished,2023-07-31 17:59:23.446638,1,,,0.0,1,true,true,1,1,1690826363.8117616,1690828245.601407,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,5,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""right:9""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,1690827521.435734,1690827553.2181234,1690827572.0888174,1690827578.1397524,1690827652.346609,1690827663.6029809,,1,1,5,,0.0,,,,,,,,,,,,,,"I felt that as long as he was informed the notes were fake, it was a fair tradeoff for a large sum of money.",0,"It would not matter how ""immersive"" the machine was, the experiences would not be tangible or real. While I enjoy losing myself in games or books, part of that enjoyment comes from the fact it is fiction. I have no desire to experience that which isn't happening to me as if it were. ",1,"I believe dividing this into John being ""better or worse off"" is reductive. Overall, if he enjoys helping others, I would say he is better off with the tax. ",0,"Again, this is reductive and depends entirely on this person's worldview and their view of art. I would say if you purchased one of these knowing the goal of the project then no, you would be no better off having the original because presumably that wouldn't be all that important to you if this was something you were interested in and supporting already.",,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827714.1228704,1,2
6,915hns4o,5d8aa95dd06260000179442b,0,36,36,welfare,Finished,2023-07-31 18:03:49.687753,1,,,0.0,1,true,true,0,1,1690826629.781451,1690827603.2976043,high,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,6,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[""left:0"",""left:1""],""cutoff"":""right:0""}","{""history"":[""right:0""],""cutoff"":""left:0""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690826957.8168745,1690827005.3473587,1690827028.9626467,1690827083.2209494,1690827164.9483342,1690827183.0234416,,1,1,6,,0.0,,,,,,,,,,,,,,It doesnt matter if he gets the original or fake except for the bon us.  Bonus is bigger for fake notes,0,NO!!!  I waant all of mhy experiences to be real,1,Raising John's taxes by 100 dollars makes him better off.  He is helpinh flooded out people and his money will make a differnce,0,"No, the person is not better off because no one will ever know if it is an original so he cant sell it as such nor does he have bragging rights",,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827255.3594925,1,2
7,eu84ekvl,5e26762aa8c1118a9d578c4d,0,36,36,welfare,Finished,2023-07-31 18:05:14.518144,1,,,0.0,1,,,1,1,1690826714.601401,1690827692.4084063,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,7,,0.0,1,3,1,2,1,,2,,1,,,,,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1690827159.9092274,1690827259.0357146,1690827320.4228728,,,1690827351.6267874,,1,1,7,,0.0,,,,,,,,,,,,,,"In Case 1, I preferred Alex to receive the books with the original handwritten notes because they are more valuable for his research. However, in Case 2, I was indifferent about which books Alex received because he would never learn which ones he had. Therefore, the value of the books to him was purely subjective.",0,"I believe that there is more to life than just experiencing pleasure. I want to experience the real world, with all its ups and downs. I want to feel the pain of loss and the joy of love. I want to make a difference in the world and leave my mark on history. I believe that these experiences are what make life meaningful.",0,"Even though John cares about helping others and would gladly contribute $100 to the relief effort if he knew about the flood, he will never learn about the flood or the relief effort. This means that he is being taxed without any benefit to himself.",0,"The reason is that the original and the copies are indistinguishable, so the person who got the original will not be able to enjoy any benefits that come with owning the original. In fact, the person who got the original may even be worse off, as they may be worried that they do not actually have the original and that they have been duped.",,,,,,,,I thought the study was well-designed and I enjoyed participating. Thank you for the opportunity!,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827392.475726,1,2
8,breg1eqt,5a7f42215292b8000122c84a,0,31,36,welfare,PostMPL,2023-07-31 18:05:37.028272,1,,,0.0,,true,false,0,2,1690826737.062903,,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,8,,0.0,2,3,1,2,1,,1,,1,NA,"{""history"":[],""cutoff"":""right:10""}",,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690827048.353843,1690827122.3390055,1690827169.1502717,1690827189.1861494,1690827285.036661,1690827348.1040678,,1,1,8,,0.0,,2,1,2,1,2,1,2,1,NA,"{""history"":[],""cutoff"":""right:10""}",,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1690827388.1752455,1690827419.266813,1690827422.6547606,1690827463.9024076,,,1,2
9,elaut9jr,647b94fa0a35e23330edcc2f,0,36,36,welfare,Finished,2023-07-31 18:08:38.516159,1,,,0.0,1,true,true,1,1,1690826918.577284,1690827791.6964204,high,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,9,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1690827136.7060094,1690827183.5162537,1690827213.342832,1690827255.0150945,1690827299.2613025,1690827311.5503764,,1,1,9,,0.0,,,,,,,,,,,,,,Alex should know if the books have the orginal notes because the authors are impotant to him and enjoys their works. He should not doubt what is written by them,1,"it is always good to try something once, i would not want to regret not doing something because i was afriad of the outcome",0,john should get the decisio on who he is giving money to. Most people feel better knowing that they did some good in the world ,0,there is no way to prove who got which drawing so they would all considered fakes. ,,,,,,,,,10,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827384.5857165,1,2
10,pa4s3awd,63e919ce3e92e3611813d7e6,0,36,36,welfare,Finished,2023-07-31 18:10:27.424316,1,,,0.0,1,true,false,0,1,1690827027.7843862,1690828477.491502,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,10,,0.0,1,2,1,2,1,2,1,2,1,NA,"{""history"":[],""cutoff"":""left:6""}",,1,,,,,,,,1,1,2,2,3,2,,,,,,,1,0,0,0,0,0,0,1,0,1,0,0,0,1690827713.9957669,1690827773.3232784,1690827792.3147247,1690827961.079685,1690828000.0365,1690828009.1303043,,1,1,10,,0.0,,,,,,,,,,,,,,based on the information provided,0,because it might not help,1,because at the end it will help the loss,1,based on the information provided,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690828049.422758,1,2
