participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,participant.treatment,participant.WTP_same,participant.choices_orders,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.development,session.config.real_world_currency_per_point,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.MPLWhy,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.cq6_treatments,welfare.1.player.cq6_ambiguous,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.cq6_ambiguous_mistakes,welfare.1.player.cq6_treatments_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.MPLWhy,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.cq6_treatments,welfare.2.player.cq6_ambiguous,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.cq6_ambiguous_mistakes,welfare.2.player.cq6_treatments_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
1,z0f2kbci,,0,36,36,welfare,Finished,2023-08-14 22:51:57.956453,1,,,0.0,1,true,true,1,1,1692053518.004904,1692056123.558805,middle,1,3,7copbs9n,,,,,0,welfare,3.0,0,1.0,,1,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:4""}","{""history"":[],""cutoff"":""left:3""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1692053556.711714,1692053563.883164,1692053572.219434,1692053578.4605901,1692053652.630443,1692053669.7128692,,1,1,1,,0.0,,,,,,,,,,,,,,d,0,d,0,d,0,d,,,,,,,,d,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692056106.84856,1,2
2,zc4yedsz,,0,36,36,welfare,Finished,2023-08-14 22:54:32.616457,1,,,0.0,1,true,true,0,1,1692053672.661821,1692056152.4825768,middle,1,5,7copbs9n,,,,,0,welfare,3.0,0,1.0,,2,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:4""}","{""history"":[],""cutoff"":""right:5""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,1692053701.595789,1692053710.390505,1692053717.6702561,1692053721.735441,1692055745.8166552,1692055749.788039,,1,1,2,,0.0,,,,,,,,,,,,,,d,0,d,0,d,0,d,,,,,,,,d,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692056133.372267,1,2
3,gepnuxvj,,0,36,36,welfare,Finished,2023-08-14 23:01:02.375314,1,,,0.0,1,true,true,1,1,1692054062.429494,1692056195.3677928,low,1,5,7copbs9n,,,,,0,welfare,3.0,0,1.0,,3,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[""left:9""],""cutoff"":""right:4""}","{""history"":[""left:5""],""cutoff"":""left:3""}",2,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,1,1,0,0,1,0,0,1692054093.564215,1692054101.96384,1692054108.1154869,1692054398.892098,1692056162.057939,1692056176.487742,,1,1,3,,0.0,,,,,,,,,,,,,,d,0,d,1,d,1,d,,,,,,,,d,5,8,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692056178.599665,1,2
4,tfqzhyhp,,0,36,36,welfare,Finished,2023-08-14 23:45:00.634346,1,,,0.0,1,true,true,0,1,1692056700.6744242,1692058023.416032,middle,0,6,7copbs9n,,,,,0,welfare,3.0,0,1.0,,4,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:9""}","{""history"":[],""cutoff"":""right:8""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,1692056731.025939,1692056742.6440399,1692056750.398616,1692056754.290373,1692056806.390448,1692057954.7401102,,1,1,4,,0.0,,,,,,,,,,,,,,2,0,2,0,2,0,2,,,,,,,,2,5,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692057958.492382,1,2
5,bucogl4o,,0,36,36,welfare,Finished,2023-08-15 00:00:06.330462,1,,,0.0,1,true,true,1,1,1692057606.369397,1692058382.923019,middle,0,1,7copbs9n,,,,,0,welfare,3.0,0,1.0,,5,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:9""}","{""history"":[],""cutoff"":""right:8""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1692058326.206861,1692058341.5582469,1692058348.287273,1692058350.921057,1692058360.36044,1692058364.7539892,,1,1,5,,0.0,,,,,,,,,,,,,,oi,1,d,1,d,1,d,,,,,,,,d,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692058367.229728,1,2
6,tojaah28,,0,36,36,welfare,Finished,2023-08-15 00:07:08.653770,1,,,0.0,1,true,true,0,1,1692058028.845081,1692058137.008045,middle,0,3,7copbs9n,,,,,0,welfare,3.0,0,1.0,,6,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:9""}","{""history"":[],""cutoff"":""right:8""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1692058068.018482,1692058076.6093051,1692058086.244545,1692058093.36923,1692058111.5633652,1692058118.036833,,1,1,6,,0.0,,,,,,,,,,,,,,s,0,d,0,d,1,d,,,,,,,,d,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692058120.312691,1,2
7,lkoh1jx7,,0,36,36,welfare,Finished,2023-08-15 00:13:10.369492,1,,,0.0,1,true,true,1,1,1692058390.412242,1692058500.234882,high,0,2,7copbs9n,,,,,0,welfare,3.0,0,1.0,,7,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[""left:10""],""cutoff"":""left:9""}","{""history"":[],""cutoff"":""left:8""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,1692058426.024223,1692058441.985476,1692058447.692927,1692058451.454858,1692058466.4092789,1692058477.631414,,1,1,7,,0.0,,,,,,,,,,,,,,j,0,n,1,io,0,j,,,,,,,,j,7,8,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692058480.17199,1,2
8,ca3x5all,,0,0,36,,,,0,,,0.0,,,,0,,,,high,,6,7copbs9n,,,,,0,welfare,3.0,0,1.0,,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
9,yplpakbb,,0,0,36,,,,0,,,0.0,,,,1,,,,middle,,4,7copbs9n,,,,,0,welfare,3.0,0,1.0,,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
10,05aymsev,,0,0,36,,,,0,,,0.0,,,,0,,,,high,,3,7copbs9n,,,,,0,welfare,3.0,0,1.0,,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
