participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,participant.treatment,participant.WTP_same,participant.choices_orders,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.MPLWhy,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.cq6_treatments,welfare.1.player.cq6_ambiguous,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.cq6_ambiguous_mistakes,welfare.1.player.cq6_treatments_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.MPLWhy,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.cq6_treatments,welfare.2.player.cq6_ambiguous,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.cq6_ambiguous_mistakes,welfare.2.player.cq6_treatments_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
1,ifrap86a,,0,36,36,welfare,Finished,2023-08-18 14:32:03.626841,1,,,0.0,1,,,1,1,1692369123.673744,1692370139.474198,low,0,2,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,1,,0.0,1,2,3,2,1,1,,2,,,,,,,,,,,,,1,1,2,2,3,2,,,,,,,1,2,3,4,5,0,6,0,1,0,0,0,0,1692369465.295341,1692369642.545546,1692369938.3394291,,,1692370078.731572,,1,1,1,,0.0,,,,,,,,,,,,,,No reason.,1,I,0,I,0,io,,,,,,,,j,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692370096.7643561,1,2
2,q6vjnygt,,0,36,36,welfare,Finished,2023-08-18 14:49:11.088668,1,,,0.0,1,,,1,1,1692370151.132836,1692370552.225591,high,0,6,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,2,,0.0,1,3,1,2,1,,2,,1,,,,,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1692370354.91068,1692370421.3158798,1692370459.573388,,,1692370521.236544,,1,1,2,,0.0,,,,,,,,,,,,,,u,1,u,1,u,0,I,,,,,,,,u,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692370531.714098,1,2
3,w5j22rq8,,0,36,36,welfare,Finished,2023-08-18 14:56:01.239498,1,,,0.0,1,true,true,0,1,1692370561.2846909,1692371552.9791942,high,0,1,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,3,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:6""}","{""history"":[],""cutoff"":""right:10""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,1692370707.529839,1692370728.614183,1692370735.8412569,1692371142.30792,1692371211.405879,1692371271.2556732,,1,1,3,,0.0,,,,,,,,,,,,,,j,1,j,0,h,1,j,,,,,,,,d,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692371284.0931149,1,2
4,ufoh6h3q,,0,36,36,welfare,Finished,2023-08-18 15:12:36.865740,1,,,0.0,1,true,true,0,1,1692371556.909156,1692372445.66985,high,0,6,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,4,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:1""}","{""history"":[],""cutoff"":""left:10""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,1,0,0,0,1,0,1,0,1,1,1692371650.562761,1692371775.521684,1692371781.691947,1692371784.1992562,1692371962.3586829,1692371967.6112168,,1,1,4,,0.0,,,,,,,,,,,,,,d,1,d,0,d,1,x,,,,,,,,d,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692371971.1045702,1,2
5,e7h14sxy,,0,36,36,welfare,Finished,2023-08-18 15:27:32.585591,1,,,0.0,1,true,true,0,2,1692372452.634206,1692374927.014003,low,0,4,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,5,,0.0,2,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:9""}","{""history"":[""left:11""],""cutoff"":""left:5""}",2,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1692372543.2786791,1692372559.122081,1692372635.957419,1692372644.089201,1692374490.190024,1692374656.95489,,1,1,5,,0.0,,1,1,2,1,1,1,2,1,"{""history"":[""right:5"",""right:11""],""cutoff"":""left:1""}","{""history"":[],""cutoff"":""left:3""}",2,1,e,0,e,1,e,0,e,,,,,,,,e,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1,0,0,,1692374675.429676,1692374842.9850419,1692374846.7963588,1692374902.9290812,,1692374909.6664572,1,2
6,xn5l97lw,,0,36,36,welfare,Finished,2023-08-18 16:08:55.767415,1,,,0.0,1,true,false,1,1,1692374935.8206458,1692375104.8299048,middle,0,4,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,6,,0.0,1,1,1,2,1,2,1,2,1,NA,"{""history"":[],""cutoff"":""right:5""}",,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1692375026.736327,1692375038.129689,1692375056.093868,1692375059.507505,1692375070.4308648,1692375078.237289,,1,1,6,,0.0,,,,,,,,,,,,,,R,1,D,0,D,1,D,,,,,,,,D,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692375086.052002,1,2
7,l0sd6avv,,0,12,36,welfare,ReviewStatements,2023-08-18 16:11:51.177991,1,,,0.0,,true,true,0,,1692375111.230783,,high,0,5,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,7,,0.0,,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:2""}","{""history"":[],""cutoff"":""right:5""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,0,1692375134.741601,1692375141.801228,1692375151.1666539,1692375154.6597319,1692375185.967511,,,1,1,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
8,5agt08ep,,0,36,36,welfare,Finished,2023-08-18 17:31:32.793227,1,,,0.0,1,true,true,1,1,1692379892.8072598,1692380042.342036,low,0,6,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,8,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:7""}","{""history"":[],""cutoff"":""right:6""}",2,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,1,0,0,1,0,0,0,1692379930.235447,1692379948.558624,1692379956.163698,1692379958.084456,1692380016.053486,1692380020.434645,,1,1,8,,0.0,,,,,,,,,,,,,,s,0,s,0,s,0,s,,,,,,,,s,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692380022.566046,1,2
9,ooov9y76,,0,36,36,welfare,Finished,2023-08-18 17:34:08.182089,1,,,0.0,1,true,true,0,1,1692380048.2360551,1692380147.239108,high,0,2,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,9,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:7""}","{""history"":[],""cutoff"":""left:6""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1692380071.6585312,1692380079.705524,1692380087.086037,1692380088.547578,1692380123.620506,1692380126.588981,,1,1,9,,0.0,,,,,,,,,,,,,,ewarqqwerawedfa,0,d,0,d,1,dfadsfa,,,,,,,,df,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692380129.074599,1,2
10,v7mf56jy,,0,36,36,welfare,Finished,2023-08-18 17:35:59.020712,1,,,0.0,1,true,true,1,1,1692380159.0762749,1692380237.672831,high,0,1,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,10,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:7""}","{""history"":[],""cutoff"":""right:6""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1692380182.911417,1692380191.832969,1692380198.180942,1692380200.233734,1692380215.275234,1692380218.714506,,1,1,10,,0.0,,,,,,,,,,,,,,adsfasdfa,1,dfad,0,df,0,df,,,,,,,,df,9,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692380221.2799292,1,2
