participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,participant.treatment,participant.WTP_same,participant.choices_orders,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.browser,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.MPLWhy,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.cq6_treatments,welfare.1.player.cq6_ambiguous,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.cq6_ambiguous_mistakes,welfare.1.player.cq6_treatments_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.browser,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.MPLWhy,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.cq6_treatments,welfare.2.player.cq6_ambiguous,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.cq6_ambiguous_mistakes,welfare.2.player.cq6_treatments_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
1,u373fldv,5ae9cadf7de272000165843c,0,1,36,welfare,Welcome,2023-08-23 13:19:49.795519,1,,,0.0,,,,0,,1692796789.8744133,,high,,4,hyxtp0i1,,,,,0,0,1.0,3.0,welfare,,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
2,09lo0i6l,5b32dc02975e260001e97eb1,0,36,36,welfare,Finished,2023-08-23 13:36:08.025185,1,,,0.0,1,true,true,1,1,1692797768.17314,1692798626.7099752,middle,0,4,hyxtp0i1,,,,,0,0,1.0,3.0,welfare,,2,,0.0,Chrome 116,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:6""}","{""history"":[],""cutoff"":""left:7""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1692797960.907207,1692797993.7065434,1692798007.5556078,1692798035.8995008,1692798084.1339223,1692798100.6507428,,1,1,2,,0.0,,,,,,,,,,,,,,,"Only slightly different, but since the notes are indistinguishable they dont really matter as much, and if Alex would not be told if they were the real or fake in Case 2 I gave a little bit less value to the original notes. ",1,"I would still remember the experiences in the ""real"" world so they would in a way be real. And I would be able to experience and learn things that I would have no way of experiencing in real life, such as going to a different time or doing something life threatening",1,"It depends on how bad his financial situation is, if he really needs his $100 it would make him worse off, however it says he will gladly contribute so if it has to be one of those choices it would be mentally a bit better off",0,"If they truly have no way of knowing or authenticating it, then the value of the original is gone so they are not better off",,,,,,,,,10,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692798218.2481017,1,2
3,hcndm91p,61650ba8e42101c561bf7335,0,36,36,welfare,Finished,2023-08-23 13:36:15.887622,1,,,0.0,1,true,true,1,1,1692797776.198003,1692799806.4566717,high,1,6,hyxtp0i1,,,,,0,0,1.0,3.0,welfare,,3,,0.0,Chrome 116,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1692798929.274105,1692798968.1049087,1692798991.3916345,1692799022.7543592,1692799097.1568406,1692799136.569841,,1,1,3,,0.0,,,,,,,,,,,,,,,"As appealing 200 dollars is, I think that Alex deserves the original notes from those he idolizes. For me, it just feels wrong to give him a fake note, even if he will never truly know if it is real or not.",0,I would be too creeped out to enter this machine and I would feel like I would get serious post Experience Machine depression after exit.,0,He has to spend money so he is probably worse off financially but maybe he feels better off mentally knowing it is helping someone.,0,"Because they will never know if it is real or not, I feel that they are not better off getting the original because there will always be an air of ""it may be fake""",,,,,,,,,9,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692799293.2926645,1,2
4,sdarp3dp,600604af2e88fb932d0b7aec,0,36,36,welfare,Finished,2023-08-23 13:38:38.471641,1,,,0.0,1,true,true,1,1,1692797918.5571957,1692798516.8140218,high,1,3,hyxtp0i1,,,,,0,0,1.0,3.0,welfare,,4,,0.0,Chrome 114,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:7""}","{""history"":[],""cutoff"":""right:7""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1692798079.9301634,1692798123.5788605,1692798140.5364666,1692798173.7841156,1692798188.3967857,1692798196.9376569,,1,1,4,,0.0,,,,,,,,,,,,,,,"Because I want to be as fair as possible. If the notes are indistinguishable, then I would feel okay with giving him the fake notes + $45. ",0,because that's terrifying. That's what I fear life actually is. An alternate reality we are plugged into and don't realize it. That's just scary and I would never want to put myself in that situation. What if you couldn't come out for years?,0,"because he doesn't live near the area and would be charged the $100 tax, putting him in a worse position.",1,"because they are indistinguishable from one another, it would be difficult to tell, but having the original is always better. His actual hands drew it in the original. Much more personal. ",,,,,,,,,10,10,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692798240.9608347,1,2
5,gp4f0k6h,58a5cf959e040a0001399f07,0,36,36,welfare,Finished,2023-08-23 13:39:25.813032,1,,,0.0,1,true,true,1,1,1692797965.8517513,1692798565.606356,low,0,2,hyxtp0i1,,,,,0,0,1.0,3.0,welfare,,5,,0.0,Chrome 115,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:6""}","{""history"":[],""cutoff"":""right:7""}",2,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1692798133.7344623,1692798154.8104844,1692798167.7430878,1692798188.093339,1692798210.6392539,1692798219.5178912,,1,1,5,,0.0,,,,,,,,,,,,,,,I just responded with what I would want someone else to choose for me if I was in Alex's shoes.,0,That situation would creep me out and I would be afraid that it would give me a false sense of reality and I would end up struggling in real life due to what happens while in the machine.,0,"They've taken money from him without telling him why or what it's for.  Even if he would have freely given the money, they took that choice away from him and losing autonomy over your choices makes you worse off in my eyes.",0,"If they don't know they have the original and there's no way to distinguish the original from the copies, their original is only worth what a copy is worth.",,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692798274.039118,1,2
6,z8h6g8w7,5815767b0643a600016f0e72,0,36,36,welfare,Finished,2023-08-23 13:40:52.772055,1,,,0.0,1,false,true,0,1,1692798052.8795497,1692799105.963207,high,0,3,hyxtp0i1,,,,,0,0,1.0,3.0,welfare,,6,,0.0,Chrome 115,1,1,3,2,1,1,,2,,"{""history"":[""right:11"",""right:10"",""right:9"",""right:8"",""right:7"",""right:6"",""right:5"",""right:4"",""right:3"",""right:2"",""right:1""],""cutoff"":""right:0""}",NA,2,,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1692798327.4419105,1692798472.3958607,1692798513.7570825,1692798548.717682,1692798595.7191951,1692798635.8231664,,1,1,6,,0.0,,,,,,,,,,,,,,,If Alex doesn't know whether the notes are original or fake then I think he would prefer the bonus.,1,Yes because this would still ne a memorable experience even though it is not actual reality.,0,It made him worse off because he did not know where the money was going.,0,Because if the person never knows it is the original then they will never know that they have something valuable.,,,,,,,,,9,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692798738.3353832,1,2
7,ot78cq8v,610830330f8703acbc7cc9d6,0,36,36,welfare,Finished,2023-08-23 13:41:52.195156,1,,,0.0,1,true,false,1,1,1692798112.2762585,1692798739.7570229,high,0,1,hyxtp0i1,,,,,0,0,1.0,3.0,welfare,,7,,0.0,Chrome 114,1,2,1,2,1,1,1,2,1,NA,"{""history"":[""left:11"",""right:11"",""left:11""],""cutoff"":""right:11""}",,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1692798258.5192664,1692798297.2678106,1692798316.2767687,1692798321.9859765,1692798338.2739441,1692798350.0582707,,1,1,7,,0.0,,,,,,,,,,,,,,,I thought Alex deserved two different odds. I think Alex comes out a winner either way.,1,I would because I love to eat.,1,I think he is  better off because he has helped others. ,0,This person got ripped off. That's no fair,,,,,,,,,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692798378.493831,1,2
8,24pxr9oz,5e837e917441520b9c662931,0,36,36,welfare,Finished,2023-08-23 13:42:34.921818,1,,,0.0,1,true,true,1,1,1692798156.3406832,1692799342.2088451,middle,1,5,hyxtp0i1,,,,,0,0,1.0,3.0,welfare,,8,,0.0,Chrome 116,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:11""}","{""history"":[],""cutoff"":""right:11""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1692798508.8047135,1692798559.2228465,1692798588.532971,1692798609.9960299,1692798679.7465782,1692798709.6595232,,1,1,8,,0.0,,,,,,,,,,,,,,,I think the professors' notes would be more valuable to Alex ,1,"Even if the experience is simulated, the emotions and sensations will be real.",0,"I think that if John wants to contribute, he should be able to do so without having his taxes increased.",0,What is the purpose of haing an original if it can't be distinguished from the other ones. ,,,,,,,,,10,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692798817.2728548,1,2
9,vye75k63,61202b6be797314915cb1bd7,0,36,36,welfare,Finished,2023-08-23 13:45:13.767543,1,,,0.0,1,true,true,0,1,1692798313.8278992,1692799135.4460158,low,1,1,hyxtp0i1,,,,,0,0,1.0,3.0,welfare,,9,,0.0,Chrome 115,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:6""}","{""history"":[],""cutoff"":""left:6""}",2,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,1,1,0,0,0,0,0,1,0,0,1692798481.9084835,1692798544.6688392,1692798625.1216764,1692798632.1504464,1692798674.538284,1692798689.7892988,,1,1,9,,0.0,,,,,,,,,,,,,,,"I doubt that Alex exists, so whether or not he knows is less important. I also think that Alex can figure out himself whether it is fake or not since he loves economics.",1,I would do it if I could get out of it once the experience is over.,0,I don't trust that the government puts that money towards what they say it will be towards.,1,"Even though they don't know it, they have an expensive painting.",,,,,,,,,7,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692798898.3279142,1,2
10,i11t8446,63eab44b1f5d72735bae1146,0,36,36,welfare,Finished,2023-08-23 13:45:46.888011,1,,,0.0,1,true,true,0,1,1692798347.0198054,1692798838.5462239,low,0,3,hyxtp0i1,,,,,0,0,1.0,3.0,welfare,,10,,0.0,Chrome 114,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:9""}","{""history"":[],""cutoff"":""right:11""}",2,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1692798467.6111557,1692798497.9773357,1692798512.4418976,1692798523.8362608,1692798554.653388,1692798569.2851825,,1,1,10,,0.0,,,,,,,,,,,,,,,"If he knows that he is getting the book with the fake notes, might as well give him an extra two hundred dollars as compensation. If he doesnt know either way, and myself, the giver wont know either, it doesnt really matter. ",0,"The whole idea of this sort of creeps me out. I would rather experience  what I want to experience in reality, not in a machine. ",0,"If John chose to donate, great, but having the government push the burden onto him via taxes is shitty",1,"eventually someone will be able to figure out exactly which one is the original, and that it is worth actual money",,,,,,,,this was interesting,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1692798624.5120642,1,2
