Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64e60ade537c38e058fb609b,61650ba8e42101c561bf7335,APPROVED,2023-08-23T13:36:11.728000Z,2023-08-23T14:10:18.370000Z,2023-08-23T14:10:19.176000,2023-08-23T14:10:19.103742Z,2047,CRSWQ1W7,662,19,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e60b3b71edc3bee2c3052c,5b32dc02975e260001e97eb1,APPROVED,2023-08-23T13:36:04.649000Z,2023-08-23T13:50:41.399000Z,2023-08-23T13:50:46.901000,2023-08-23T13:50:46.808636Z,877,CRSWQ1W7,149,28,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e60bd939cb5c3b54453fdc,600604af2e88fb932d0b7aec,APPROVED,2023-08-23T13:38:36.938000Z,2023-08-23T13:48:48.072000Z,2023-08-23T13:48:49.080000,2023-08-23T13:48:49.008743Z,612,CRSWQ1W7,1112,32,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e60c08485f866f516002ba,58a5cf959e040a0001399f07,APPROVED,2023-08-23T13:39:23.084000Z,2023-08-23T13:49:33.762000Z,2023-08-23T13:49:34.353000,2023-08-23T13:49:34.261035Z,611,CRSWQ1W7,5360,31,Female,White,United States,United States,United States,English,No,Full-Time
64e60c580c5b1b9c844f6005,5815767b0643a600016f0e72,APPROVED,2023-08-23T13:40:46.898000Z,2023-08-23T13:58:46.225000Z,2023-08-23T13:58:46.785000,2023-08-23T13:58:46.697855Z,1080,CRSWQ1W7,1371,52,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64e60c995cdfbe4e0b948bcd,610830330f8703acbc7cc9d6,APPROVED,2023-08-23T13:41:49.719000Z,2023-08-23T13:52:32.611000Z,2023-08-23T13:52:33.255000,2023-08-23T13:52:33.172444Z,643,CRSWQ1W7,2630,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e60cbac32cfe6864b57321,5e837e917441520b9c662931,APPROVED,2023-08-23T13:42:29.074000Z,2023-08-23T14:02:40.206000Z,2023-08-23T14:03:16.194000Z,2023-08-23T14:03:31.108014Z,1212,CRSWQ1W7,1782,DATA_EXPIRED,Female,Other,DATA_EXPIRED,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
64e60d33ad13d262bf07dbe5,61202b6be797314915cb1bd7,APPROVED,2023-08-23T13:45:09.718000Z,2023-08-23T13:59:08.451000Z,2023-08-23T13:59:09.088000,2023-08-23T13:59:09.034522Z,839,CRSWQ1W7,1128,21,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e60d7fd6a65a4f8a6272ef,63eab44b1f5d72735bae1146,APPROVED,2023-08-23T13:45:42.108000Z,2023-08-23T13:54:18.154000Z,2023-08-23T13:54:18.817000,2023-08-23T13:54:18.700436Z,517,CRSWQ1W7,260,44,Female,White,United States,United States,United States,English,No,Part-Time
64e60ec6a808d6a0d2f6ba25,611131e47725f6a04c723651,APPROVED,2023-08-23T13:51:05.552000Z,2023-08-23T14:07:28.214000Z,2023-08-23T14:07:28.869000,2023-08-23T14:07:28.849443Z,983,CRSWQ1W7,2400,28,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64e60f5902a9369e8d153923,603039c84bcf02e81ae8a052,APPROVED,2023-08-23T13:53:34.051000Z,2023-08-23T14:04:10.440000Z,2023-08-23T14:04:15.413000,2023-08-23T14:04:12.358667Z,637,CRSWQ1W7,2573,40,Male,White,United States,United States,United States,English,No,Full-Time
64e60f5947ff5c8b10512ff2,64135f3a5f83c8b43e569213,APPROVED,2023-08-23T13:53:51.165000Z,2023-08-23T14:11:20.021000Z,2023-08-23T14:11:20.654000,2023-08-23T14:11:20.538490Z,1049,CRSWQ1W7,582,18,Female,Black,United States,United States,United States,English,No,Full-Time
64e60f5bac8ab856fad34164,5c9293accd8dd00001d0b129,APPROVED,2023-08-23T13:53:41.879000Z,2023-08-23T14:12:17.249000Z,2023-08-23T14:12:17.865000,2023-08-23T14:12:17.762622Z,1116,CRSWQ1W7,3845,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e60f6693115b5a194ef6d1,5cfc38f7ee119e001803dd01,APPROVED,2023-08-23T13:53:46.639000Z,2023-08-23T14:05:28.021000Z,2023-08-23T14:05:28.613000,2023-08-23T14:05:28.547156Z,702,CRSWQ1W7,1929,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e60f7caf4a74f380e8d89d,6100d0faf8c8f22b10df3873,APPROVED,2023-08-23T13:54:06.721000Z,2023-08-23T14:09:23.403000Z,2023-08-23T14:09:23.993000,2023-08-23T14:09:23.936675Z,917,CRSWQ1W7,398,25,Female,Other,United States,United States,United States,English,No,DATA_EXPIRED
64e60faa2675c401070fc9b0,5671927473f58b000d664293,APPROVED,2023-08-23T13:55:07Z,2023-08-23T14:13:51.254000Z,2023-08-23T14:13:51.888000,2023-08-23T14:13:51.817193Z,1125,CRSWQ1W7,1452,32,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64e60fe40ff36f3ad378a0cc,62b1ed31eaaaa61b18c69032,APPROVED,2023-08-23T13:56:08.097000Z,2023-08-23T14:05:51.499000Z,2023-08-23T14:05:52.071000,2023-08-23T14:05:51.997564Z,584,CRSWQ1W7,1550,35,Female,White,United States,United States,United States,English,No,Full-Time
64e6100f0d9e03bdf017b5d9,5df81cd72713055bdf02efd8,APPROVED,2023-08-23T13:56:57.154000Z,2023-08-23T14:13:16.655000Z,2023-08-23T14:13:17.248000,2023-08-23T14:13:17.167509Z,980,CRSWQ1W7,2627,45,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e61037dd9677f398eec88b,63ed1b44dc847ac2c0e41f82,APPROVED,2023-08-23T13:57:14.568000Z,2023-08-23T14:05:07.144000Z,2023-08-23T14:05:07.726000,2023-08-23T14:05:07.654455Z,473,CRSWQ1W7,1009,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
64e6105ac99f9b7f5db90284,5c55b95b91c0ad0001cf86ab,APPROVED,2023-08-23T13:57:52.302000Z,2023-08-23T14:12:57.133000Z,2023-08-23T14:12:57.796000,2023-08-23T14:12:57.719780Z,905,CRSWQ1W7,3303,48,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
64e6108cece8cdee5b7aef7c,5ea95ca4936cd3035f7e3e3a,APPROVED,2023-08-23T13:58:45.634000Z,2023-08-23T14:11:42.201000Z,2023-08-23T14:11:43.932000,2023-08-23T14:11:43.861636Z,777,CRSWQ1W7,2598,38,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64e6108d1ac61586af627303,5e74e1df5ae15103a51a1ee8,APPROVED,2023-08-23T13:59:01.230000Z,2023-08-23T14:08:52.739000Z,2023-08-23T14:08:55.495000Z,2023-08-23T14:08:58.134440Z,592,CRSWQ1W7,995,34,Male,Other,United States,United States,United States,English,Yes,Full-Time
64e61090cfd7bc3a048b683e,6274275522cd2c183be830b0,APPROVED,2023-08-23T13:58:54.523000Z,2023-08-23T14:16:52.528000Z,2023-08-23T14:16:53.561000,2023-08-23T14:16:53.563932Z,1079,CRSWQ1W7,1352,51,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
64e610a303edcbe95bf6b9d6,5c511ead2423780001086a92,APPROVED,2023-08-23T13:59:05.661000Z,2023-08-23T14:15:41.828000Z,2023-08-23T14:15:53.776000Z,2023-08-23T14:15:58.815419Z,997,CRSWQ1W7,1760,48,Female,Mixed,United States,United States,United States,English,No,Full-Time
64e610daa91b7e711a25b61c,5ecbe5e254cc883c02f52be8,APPROVED,2023-08-23T13:59:59.279000Z,2023-08-23T14:12:45.282000Z,2023-08-23T14:12:45.878000,2023-08-23T14:12:45.784685Z,767,CRSWQ1W7,3421,64,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e610f74c2a015cb622ad4a,6462c584d3863d452bc1f8d2,APPROVED,2023-08-23T14:00:34.972000Z,2023-08-23T14:39:08.358000Z,2023-08-23T14:39:09.043000,2023-08-23T14:39:08.968476Z,2314,CRSWQ1W7,163,49,Male,White,United States,United States,United States,English,No,Full-Time
64e61102edfe74dbe48d678a,589a46af57995d0001a8a03a,APPROVED,2023-08-23T14:00:45.851000Z,2023-08-23T14:19:36.781000Z,2023-08-23T14:19:37.993000,2023-08-23T14:19:37.920987Z,1131,CRSWQ1W7,3961,43,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64e611067c0ce2a62e047de7,63bb4ea524b89495f4bad8af,APPROVED,2023-08-23T14:00:54.354000Z,2023-08-23T14:27:13.647000Z,2023-08-23T14:27:14.194000,2023-08-23T14:27:14.105045Z,1580,CRSWQ1W7,785,40,Male,White,United States,United States,United States,English,No,Part-Time
64e611096ad3b77f57512ff4,645b64a4db6c2fa817932d6e,APPROVED,2023-08-23T14:00:45.167000Z,2023-08-23T14:47:21.519000Z,2023-08-23T14:47:22.781000,2023-08-23T14:47:22.703249Z,2797,CRSWQ1W7,376,62,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e611238dbf182043641194,62d43cee3d60ac98c1dcacc8,APPROVED,2023-08-23T14:01:09.652000Z,2023-08-23T14:18:15.064000Z,2023-08-23T14:18:15.721000,2023-08-23T14:18:15.650789Z,1026,CRSWQ1W7,2376,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e6113be7ef6fb09e6590e0,63f7a84b6e32b3b093b7b241,APPROVED,2023-08-23T14:01:34.067000Z,2023-08-23T14:08:56.334000Z,2023-08-23T14:08:57.282000,2023-08-23T14:08:57.170216Z,443,CRSWQ1W7,1479,28,Male,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED
64e6114c0e49407f5feec869,5a8c2da3eea3d300016ea27c,APPROVED,2023-08-23T14:03:04.569000Z,2023-08-23T14:15:55.244000Z,2023-08-23T14:16:00.489000Z,2023-08-23T14:16:02.784031Z,771,CRSWQ1W7,3939,56,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e611633b80b585479abbc4,5ceac8abb5a9d90001c07ec0,APPROVED,2023-08-23T14:02:34.006000Z,2023-08-23T14:38:44.821000Z,2023-08-23T14:38:50.582000,2023-08-23T14:38:45.493772Z,2171,CRSWQ1W7,1754,32,Female,Other,United States,United States,United States,English,No,Full-Time
