label,feedback,feedbackDifficulty,feedbackUnderstanding,feedbackSatisfied,feedbackPay
6138c06bd7d7f2b7720e7a27,No comments.,9.0,7.0,7.0,9.0
5de83f3b3aa615000a41f831,I do not wish to add a comment.,2.0,7.0,5.0,8.0
5f3ac1732efa0a74f975b1a8,Everything was easy to understand.,10.0,10.0,9.0,10.0
6143abecd2f51fa8dfe7f3c3,,10.0,10.0,10.0,9.0
62d5788341a681924672a1ca,Interesting study and more fun than most on Prolific.,10.0,10.0,10.0,8.0
60a55d4bb6bd9be6c95b89eb,,10.0,10.0,10.0,10.0
63d7c7cc6818efd3fd8dfc80,There was no confusion at all. ,10.0,10.0,10.0,10.0
63d1a20c4420edd8194b69d4,Good study,10.0,10.0,10.0,6.0
5485df6efdf99b416d19fe90,everything was fine and understandable,10.0,10.0,9.0,9.0
61267e282a445af9eb95beae,Everything about the study was easy to understand. ,10.0,10.0,9.0,9.0
63279085ec65a992cc521187,,10.0,10.0,10.0,9.0
5eeab8dbac2ca01de4018af0,,10.0,10.0,10.0,10.0
5f4534c6ab827a0c256e75c7,I found it interesting.,10.0,10.0,10.0,10.0
60478d729944c5000b231088,Thank you!!,10.0,10.0,10.0,10.0
6143c54419a0e89c28649418,,10.0,10.0,10.0,10.0
570b7b5fb9b52b00102d96f9,I felt very comfortable with the instructions and it was very easy to understand what to do.  Also the pay is good and I'm happy with the study overall.  Thank you!,10.0,10.0,10.0,10.0
638df16a9ac9d4b756ea24e3,I felt very comfortable,10.0,10.0,10.0,9.0
5d32deeb9ce6590001010618,,8.0,9.0,8.0,6.0
610019cae69b9ad34c95e3b3,,10.0,10.0,9.0,10.0
61036bbd791964fafe65236a,,10.0,10.0,10.0,10.0
5f88877885e51d02acd71b12,,10.0,10.0,10.0,10.0
5de5538f8fde1c4dbc951498,All seemed to go well. I gave answers true to my beliefs.,9.0,10.0,9.0,5.0
63d884e0a12d7da5e48ba81e,Thankful for the opportunity.,10.0,10.0,10.0,10.0
5a188836087f2e0001eaf744,The table was hard to get to work.,9.0,10.0,10.0,7.0
58fd4bc1e219d00001ee5a55,,10.0,10.0,10.0,10.0
6353f3225208e44c98e33a3e,I was not confused. It was clear.,10.0,10.0,10.0,10.0
63d8006d480290b3e15245f1,none at this time,8.0,8.0,6.0,10.0
