label,warhol,arkansas,experience,warholWhy,arkansasWhy,experienceWhy
600b867e297f072364af7a99,0.0,0.0,1.0,Being a victim of fraud like this is pretty low and awful. I don't wish it on anyone. ,"I think John should at least know or be told. I mean at least with actual real-life taxes we sort of know where our money goes. But placing a specific levy on specific people sounds dirty, and people effected should be told. ","Simulated reality like described has sort of been kind of an interest of mine ever since I saw The Matrix or Ready Player one. It honestly sounds really cool, and lets me live out my fantasies. I just want to do things that I would not otherwise be able to do. That appeals to me on some level. "
6138c06bd7d7f2b7720e7a27,1.0,1.0,1.0,I think its more better.,I think its right.,I think yes. It makes me more experienced.
614ee4370d85f20de1b9548f,1.0,0.0,1.0,Yes this person more than better.,I think Yes.,Yes I will go. Cause it makes me experienced.
5de83f3b3aa615000a41f831,0.0,0.0,0.0,The person who got the original drawing will never be able to prove that his drawing is more valuable than the others.,John is worse off because he lost $100.,"Although I would like to plug into the experience machine, I am concerned about the length of long the experience and the consequences of plugging into the machine. So, I would not choose the simulation."
5f3ac1732efa0a74f975b1a8,0.0,1.0,1.0,"No, they are not better off since they probably think they got the knock off. ",I feel like he would help out anyway if he actually new about the flood. He could help with more money then just 100.,"I like taking risks, trying new things, Plus you never know what would happen in the reality world since anything can happen."
6143abecd2f51fa8dfe7f3c3,0.0,0.0,1.0,Because they don't know that it's the original and there's no way to tell if it is.,"Because he's having to pay more taxes, but doesn't know that it's going towards a relief effort.",I could use it to learn or try new things that I wouldn't normally be able to.
62d5788341a681924672a1ca,1.0,1.0,1.0,"In theory it is worth more, and could be appraised as such by an art appraiser. However if telling the difference is impossible, they are neither worse or better off.",Mentally he is worse off because he does not know where his money is going. ,As long as I could come out of it at some point I would go in. It would give me an opportunity to experience things I may never otherwise get a chance to experience.
60a55d4bb6bd9be6c95b89eb,0.0,0.0,1.0,"Overall, I'd say no because they have no way to tell for sure. If they knew, they would be better off. ",Well in general it makes John worse off because he is simply out $100 from his perspective.,"Assuming this is only for a set period of time, then sure I would try it once to see what it's like."
63d7c7cc6818efd3fd8dfc80,1.0,1.0,0.0,Yes because it has more meaning and worth.,If it's helping others than it's always a good thing.,I wouldn't want to ever not know what was happening to me wasn't real.
63d1a20c4420edd8194b69d4,0.0,0.0,1.0,No because they don't know their painting is actually worth $20k so they won't be able to sell it for the best price.,It's worse because he has to contribute $100 but never learns about the flooding or relief effort.,I would like to enjoy any experience that I desire even if it is simulated.
