label,feedback,feedbackDifficulty,feedbackUnderstanding,feedbackSatisfied,feedbackPay
5a9f566d777df2000160326c,,10.0,10.0,10.0,10.0
60528727a8bd70153578f03a,,6.0,8.0,7.0,8.0
546f8a9cfdf99b4a593414ea,,10.0,10.0,7.0,5.0
5aad9c53c4914b0001a39659,,8.0,9.0,10.0,8.0
608f2ebc23ba13416e9a7e57,,,,,
5f4d07b4fae27694de8f5af1,This survey was very similar to ones I have taken in the past. It was very good.,10.0,10.0,10.0,10.0
63e2953c6c707d75ae5fcdd2,,,,,
5f0d0bb334aaaf7151fee628,,10.0,10.0,8.0,9.0
63e57f5b078c526e4fb9d370,,,,,
5ac43d51a3ba7a0001b498d0,,10.0,10.0,10.0,10.0
5ead45a386fbbe3c8eebe510,,9.0,9.0,7.0,10.0
6117efedb574017076d5b499,Not at all.,9.0,9.0,8.0,9.0
62c97585c81636f2f16fbbb0,I think the study was very straight forward and interesting to take. I think the payment was fair as well.,9.0,9.0,10.0,9.0
607de1d7c7cc25b639f63026,,10.0,10.0,10.0,10.0
640d988c383c60ed564dd05e,The study was super slow to load and I had to hit the next button several times to get the page to advance. The tables did not load the first time around so i had to click next and then get an error message stating the questions needed to be answered in order to get the tables for the books for alex to load. ,9.0,10.0,9.0,8.0
633e64bfaab0e4bed6e5307d,Thanks for clearing up the tech error after I contacted you. Interesting study!,8.0,8.0,8.0,8.0
62bf0e174650375f525c21bf,,10.0,9.0,10.0,10.0
612323ddbebadb638a141ce3,the instructions were clear to me,9.0,9.0,8.0,8.0
63f7823635eaa68f32130a14,,7.0,8.0,5.0,10.0
6397bcc95a5e903a262566bb,The only feedback or thoughts that I could share is that my study was incredibly slow and sluggish. It also struggled to begin the study in the first place. I don't think its just on my end but it is possible. Figured I should at least pass that along though. ,9.0,10.0,8.0,8.0
5ea5dc0ea29a6a06d12f208b,yes  i am ,8.0,9.0,6.0,7.0
63b63938dbf229f3eb46d4a4,,10.0,10.0,10.0,10.0
5fa17ddeabc188288bde81c8,Survey loaded slowly between pages.  ,10.0,10.0,8.0,9.0
5b5b6c11f5bc590001177815,,10.0,10.0,10.0,10.0
5d7126d0585f4f000139a9e8,,10.0,10.0,10.0,10.0
