label,feedback,feedbackDifficulty,feedbackUnderstanding,feedbackSatisfied,feedbackPay
56d9f54b610fc0000bb76e8d,"I do have adult ADHD, so that explains the overthinking:-)",10.0,10.0,10.0,10.0
6296f6b50fbeeb28c63800df,,10.0,10.0,10.0,8.0
55d4cb9158c35800113dc22e,I thought the instructions were clear. ,10.0,10.0,8.0,7.0
57d88513995a0b0001635002,,10.0,10.0,10.0,8.0
594936ad4152bf0001bfd5cd,,10.0,10.0,10.0,10.0
5d8aa95dd06260000179442b,,10.0,10.0,10.0,10.0
5e26762aa8c1118a9d578c4d,I thought the study was well-designed and I enjoyed participating. Thank you for the opportunity!,10.0,10.0,10.0,10.0
647b94fa0a35e23330edcc2f,,10.0,9.0,10.0,10.0
63e919ce3e92e3611813d7e6,,10.0,10.0,10.0,10.0
63c5e8422563a1600d959475,,7.0,6.0,7.0,6.0
5c5c8a688089970001788f30,"This was a fun and challenging study; always appreciated among the mass of similar in format studies that are made available daily. My instinct is to go for easy, but when challenged I feel so much better; as if I am really making a difference to the research being done. ",10.0,10.0,10.0,10.0
5c8f224c9d2bff0001867ce2,,10.0,10.0,10.0,10.0
63d8766016c0bfcd19d3c732,I enjoyed the study. ,9.0,10.0,7.0,8.0
5ba16cc388ec69000112a59b,,10.0,10.0,10.0,10.0
5ec9cf3ed4642d4ebb802b42,,10.0,10.0,5.0,10.0
62778bd8b195693397330c4f,Good luck with your study.,8.0,10.0,8.0,9.0
614227ca2722b36a2e6a593b,It was fine.,10.0,10.0,5.0,7.0
63cb23389133d3f76db2336a,,10.0,10.0,6.0,8.0
5a9ab4944eecca0001dd806a,It was interesting.,10.0,10.0,10.0,10.0
5deebb555c4435044e648c7f,No issues - this study was interesting all the way through.,10.0,10.0,10.0,10.0
63cf09b5ff96755df8057199,,10.0,10.0,10.0,10.0
5e5578c220b63957aeea65dd,,10.0,10.0,10.0,10.0
62f70dd38becd2f7f2ce53a8,,10.0,10.0,10.0,10.0
6320a1395b4e05325c746101,,8.0,9.0,8.0,8.0
61080e770015049d96187e01,,9.0,9.0,9.0,9.0
61088dd12254a40e38ed6015,,8.0,8.0,8.0,8.0
5edc195a95d5090e1c3f91b2,,9.0,7.0,8.0,8.0
5d506e6d4040a40016bb186a,,8.0,8.0,6.0,8.0
6111b8b600b79655a5381437,I have no feedback. It was an interesting survey. ,10.0,10.0,10.0,10.0
6102d892986a0f83785e2470,,10.0,9.0,10.0,8.0
