label,Trad_wtp3_bounds,ES_wtp3_bounds,treatment,mistakes_total,MPLWhy
5b32dc02975e260001e97eb1,"(25, 45)","(15, 25)",middle,1.0,"Only slightly different, but since the notes are indistinguishable they dont really matter as much, and if Alex would not be told if they were the real or fake in Case 2 I gave a little bit less value to the original notes. "
61650ba8e42101c561bf7335,"(200, inf)","(200, inf)",high,0.0,"As appealing 200 dollars is, I think that Alex deserves the original notes from those he idolizes. For me, it just feels wrong to give him a fake note, even if he will never truly know if it is real or not."
600604af2e88fb932d0b7aec,"(25, 45)","(25, 45)",high,0.0,"Because I want to be as fair as possible. If the notes are indistinguishable, then I would feel okay with giving him the fake notes + $45. "
58a5cf959e040a0001399f07,"(45, 70)","(25, 45)",low,0.0,I just responded with what I would want someone else to choose for me if I was in Alex's shoes.
5815767b0643a600016f0e72,"(0, 0)","(1, 2)",high,0.0,If Alex doesn't know whether the notes are original or fake then I think he would prefer the bonus.
610830330f8703acbc7cc9d6,"(140, 200)","(-1, 0)",high,1.0,I thought Alex deserved two different odds. I think Alex comes out a winner either way.
5e837e917441520b9c662931,"(200, inf)","(200, inf)",middle,0.0,I think the professors' notes would be more valuable to Alex 
61202b6be797314915cb1bd7,"(25, 45)","(25, 45)",low,2.0,"I doubt that Alex exists, so whether or not he knows is less important. I also think that Alex can figure out himself whether it is fake or not since he loves economics."
63eab44b1f5d72735bae1146,"(140, 200)","(70, 100)",low,1.0,"If he knows that he is getting the book with the fake notes, might as well give him an extra two hundred dollars as compensation. If he doesnt know either way, and myself, the giver wont know either, it doesnt really matter. "
611131e47725f6a04c723651,"(140, 200)","(140, 200)",middle,0.0,I didn't think a $1 bonus was enough compensation for receiving the fake notes
603039c84bcf02e81ae8a052,"(0, 0)","(0, 0)",low,0.0,"Neither choice has any bearing on me. When I answered I am indifferent to which book Alex receives, it is because I truly don't care which book he gets. "
5c9293accd8dd00001d0b129,"(25, 45)","(25, 45)",high,0.0,I think the importance or original has a price tag of approx 45 dollars whter he knows or not. Either way he is financially enriched 
5cfc38f7ee119e001803dd01,"(70, 100)","(0, 0)",middle,1.0,"I think Alex will value us telling him but only if the notes are real. If they are fake than as the saying goes, ignorance is bliss. But also to me personally I am more indifferent if they are fake because he will not gain anything. "
64135f3a5f83c8b43e569213,"(200, inf)","(200, inf)",middle,1.0,I feel like whether he knows or not I want him to have the genuine notes. I say this because to him having real autograph from someone you admire is likely worth more than a fake authograph with money. 
6100d0faf8c8f22b10df3873,"(2, 3)","(2, 3)",low,0.0,Because my feeling didn't change based on whether Alex was going to be told or not which books have the fake or original notes.
5671927473f58b000d664293,"(15, 25)","(10, 15)",low,1.0,"For case 1, I think Alex would possibly feel better about receiving more money if he is aware that he is getting the books with the fake notes. But in case 2, he wouldn't be sure so would still possibly be happy about receiving less than in case 1."
62b1ed31eaaaa61b18c69032,"(200, inf)","(200, inf)",low,0.0,I think he should have the original notes regardless of any bonus or knowledge of what he is getting. The notes will mean more to him than a couple of dollars.
63ed1b44dc847ac2c0e41f82,"(140, 200)","(140, 200)",high,0.0,"I believe the intent mainly is for Alex to have original notes from the real professors and not for him to get cash.  I'd like him to mostly know that he has original notes.  However, I think at $200 it becomes better for Alex to have cash than original notes."
5df81cd72713055bdf02efd8,"(70, 100)","(200, inf)",low,0.0,I wouldn't want someone to receive anything fake without their knowledge.
5c55b95b91c0ad0001cf86ab,"(70, 100)","(25, 45)",middle,1.0,"If Alex could never know whether his notes were real or fake, he would always have doubts about them. So they would be less valuable to him, and my choices reflected that."
5ea95ca4936cd3035f7e3e3a,"(200, inf)","(200, inf)",high,0.0,Alex loves economics and the book with the original notes seems like a more meaningful gift than a small amount of money.
6274275522cd2c183be830b0,"(70, 100)","(70, 100)",middle,1.0,"I think Alex would prefer the books with the original notes over any amount of money.  However, if Alex is lured by money, it would need to be at least 100."
5e74e1df5ae15103a51a1ee8,"(200, inf)","(140, 200)",middle,0.0,"If you tell Alex which one's they got, then they should get the original. Same thing for if you don't tell them, either way I feel like they should get the original. The only difference being when it comes to giving them a monetary bonus."
5c511ead2423780001086a92,"(1, 2)","(-inf, -1)",low,1.0,I figured the bonus would be much better with the option I chose
