label,feedback,feedbackDifficulty,feedbackUnderstanding,feedbackSatisfied,feedbackPay
5b32dc02975e260001e97eb1,,10.0,10.0,9.0,7.0
61650ba8e42101c561bf7335,,9.0,9.0,9.0,10.0
600604af2e88fb932d0b7aec,,10.0,10.0,8.0,9.0
58a5cf959e040a0001399f07,,10.0,10.0,10.0,10.0
610830330f8703acbc7cc9d6,,9.0,9.0,9.0,9.0
5e837e917441520b9c662931,,10.0,10.0,10.0,8.0
5c9293accd8dd00001d0b129,,10.0,10.0,10.0,10.0
5cfc38f7ee119e001803dd01,,8.0,9.0,8.0,9.0
64135f3a5f83c8b43e569213,,10.0,10.0,10.0,10.0
6100d0faf8c8f22b10df3873,,10.0,10.0,10.0,10.0
5671927473f58b000d664293,I think it was very clear and well-written. The story about the Warhol drawings was very interesting.,10.0,10.0,10.0,10.0
62b1ed31eaaaa61b18c69032,none,10.0,10.0,10.0,9.0
63ed1b44dc847ac2c0e41f82,,9.0,9.0,9.0,9.0
5df81cd72713055bdf02efd8,,10.0,10.0,7.0,7.0
5c55b95b91c0ad0001cf86ab,"I wasn't sure if I was supposed to assume any kind of time limit on the ""experience machine.""",8.0,9.0,7.0,6.0
5ea95ca4936cd3035f7e3e3a,,10.0,10.0,10.0,10.0
6274275522cd2c183be830b0,Instructions were great.  No confusion,10.0,10.0,10.0,10.0
5e74e1df5ae15103a51a1ee8,"Survey functioned well, it was relatively interesting. Makes me think about how much genuine articles matter, especially if no one can tell the difference.",10.0,10.0,10.0,10.0
5ecbe5e254cc883c02f52be8,,6.0,10.0,6.0,9.0
6462c584d3863d452bc1f8d2,I really enjoyed the study.  I hadn't really thought about value in quite these terms.  I have a broader view of and concern for society as a whole than I realized.  I hope Alex gets the original and knows it.,10.0,10.0,10.0,7.0
589a46af57995d0001a8a03a,,10.0,10.0,10.0,10.0
645b64a4db6c2fa817932d6e,The study was clear and there was little confusion.  My only question would be for the forgers...  what could possibly be the benefit of losing the original Warhol amongst the forgeries?  Was it to devalue the artist's works?  What did they possibly gain from it? ,9.0,9.0,9.0,9.0
63bb4ea524b89495f4bad8af,This was different and interesting.  I appreciate that. ty,9.0,10.0,9.0,9.0
5ceac8abb5a9d90001c07ec0,,9.0,9.0,7.0,8.0
62def0e20f5de21c88a7ffe7,The instructions were clear and straightforward. ,10.0,10.0,9.0,9.0
628b8ef9ef5432197c27bbc9,,10.0,10.0,10.0,10.0
5a8c2da3eea3d300016ea27c,,10.0,10.0,10.0,10.0
55ad1d55fdf99b4c8f9941d4,"This was a really cool study, academics made fun!  All the best in your research.",9.0,10.0,10.0,9.0
63b6c0245a6de54b28e6ef89,,10.0,10.0,10.0,8.0
60fd6a2e013bff4b729c6dec,,10.0,10.0,10.0,10.0
6036a2f8ca97af126e1e0706,I understood the instructions and thought they were clear. Thank you for the opportunity!,10.0,10.0,9.0,8.0
631f3abc8826b6e7e8982648,"All of the instructions were clear, however the only issue I had was with the second to last open-ended question. ",10.0,10.0,6.0,10.0
5ba259603bf2350001a54284,"All clear except I did not change my answers on the money decision, so that question was a bit confusing.",9.0,10.0,7.0,8.0
58e558cc728bea0001bbda24,nothing was confusing.,10.0,10.0,10.0,10.0
641386b1cb9a9c1e3569d4ee,,8.0,8.0,6.0,9.0
5ebe015ae70ab70008895dbd,I thought it was clear and I did the best to my understanding of the instructions.,10.0,9.0,10.0,9.0
60fcb2b45504d8488ab13968,,7.0,7.0,8.0,10.0
571e332b1bdf1a00119149f2,,9.0,9.0,10.0,10.0
5a53e59af6c5170001949a39,"Study was a little random and boring, but I gave it my best effort. ",9.0,9.0,4.0,7.0
5b9ec956c8a17f000171f7ad,,9.0,9.0,9.0,10.0
63d7d0047975f39570dfa810,,10.0,10.0,10.0,10.0
63e84a9ea3f6d5acdc598a6a,Thank you!,10.0,10.0,10.0,9.0
58404dae32e21e0001f80519,,6.0,6.0,5.0,5.0
5c46353e11509900018e24b4,Easy to understand study!,10.0,10.0,10.0,10.0
628f76b86068bc13224921ce,,10.0,10.0,10.0,10.0
5dee8ee31255595293a9906b,,9.0,10.0,10.0,7.0
5dd4c2f2390fb648f7baf4d2,,10.0,10.0,10.0,10.0
58d552e09dbe3f00012591f2,,10.0,10.0,10.0,10.0
647665d88d8d555b082b9604,,10.0,10.0,10.0,10.0
5b211cda68a5ed000173e9c0,,10.0,10.0,10.0,10.0
5a78e410ae9a0b0001a97274,,10.0,10.0,10.0,10.0
58f1017ac325470001795b01,,10.0,10.0,10.0,10.0
61283769a39dd638c256540c,I do not have a lot of feedback other than I wish I had a better understanding of what you were trying to learn.,2.0,7.0,8.0,6.0
5e84bd7c34d5d9072128fac1,,10.0,10.0,5.0,8.0
5d37ad921c16bb0015281337,,7.0,7.0,8.0,8.0
6032f9d56de00f37d060a779,,10.0,10.0,10.0,10.0
6162d7f2f4d650e7eec2e5b7,,10.0,10.0,10.0,10.0
6465cd750298e0714b6391cf,,10.0,10.0,9.0,10.0
63f7cf04c7b1a4c4972e9254,Nothing at all was confusing. I really enjoyed taking part in this study. It was unique and interesting.,10.0,10.0,10.0,10.0
5b342c9da2982a0001dd9f25,,8.0,8.0,7.0,7.0
632e9aa62793c18a857aece4,One of the questions in the beginning asked what happens to the book Alex doesn't receive and I had trouble finding that answer. ,5.0,6.0,9.0,9.0
63d18d8eafb7fb418594761a,No confusion or issues,10.0,10.0,10.0,10.0
63c16f0c495b7a4849e44651,,8.0,9.0,8.0,8.0
5f96e38dbecb16000867dfa1,cool study!,10.0,10.0,10.0,10.0
55aeaeb3fdf99b5c769f1f7c,,10.0,10.0,10.0,8.0
6455192ec038073c909979c3,Nothing in this study felt confusing,10.0,10.0,10.0,10.0
63213cae8cfeef4aa57d329f,You should allow this to be done in a browser other than chrome.,9.0,10.0,10.0,8.0
5d88f010859c9e0001810e88,Everything was great except the one question about taxes that seemed to be in the middle. ,10.0,10.0,10.0,10.0
5589629dfdf99b72ead88339,,9.0,10.0,10.0,10.0
5e00f9a211999fcea4169800,,10.0,10.0,9.0,8.0
5a381de00006450001bf2691,,10.0,10.0,10.0,10.0
5d4254db5b2c430001418a3c,,9.0,10.0,10.0,10.0
61523fa4dff0567aa388e758,none,10.0,10.0,8.0,8.0
6337ea706606e30e6f01592f,Everything worked great.,10.0,10.0,10.0,10.0
5eb81d360943fe74d6aba62b,The only part that I found slightly confusing was the option to review my answers from the first set of questions as the answers from all of those questions when presented together looked different than how I expected.,9.0,9.0,10.0,10.0
6272abac31a465b0f22fb7c1,,10.0,10.0,10.0,10.0
5e3bb7770e53243ce0376fe1,,10.0,10.0,9.0,10.0
629aaa38fdfc8168501b930e,,10.0,10.0,10.0,9.0
57a2b3e1dcff7d0001c7d0dc,The study was pretty fun. Nothing was confusing to me.,9.0,9.0,8.0,8.0
5f7d4a2c5db79d21c7d07240,,9.0,10.0,9.0,9.0
558955ebfdf99b6bd06016c9,,9.0,9.0,8.0,9.0
62e02660c3ef175825ab7655,,9.0,8.0,9.0,9.0
62865960812a0a8c397f9b28,interesting study,10.0,10.0,9.0,9.0
605247e21ff59d8d1d6887fd,,9.0,9.0,9.0,9.0
5dd309d351c6d23192626706,,10.0,10.0,10.0,10.0
60838e2e91a6300001f9ac89,I had no issues understanding the study. ,8.0,8.0,8.0,8.0
5d9373b0e04970001ab482da,Everything was clear and it was fun to do something a little different than the usual surveys.,10.0,10.0,9.0,8.0
56c984eb10a82f0006ffd111,,8.0,7.0,8.0,9.0
5658d6d67d69570012dfe258,"The whole scenario with Alex and the bonuses just got confusing to me, especially when you asked me to explain my answers.",8.0,7.0,9.0,10.0
5eb074c7e612c1129942044c,"Longer than advertised due to length and writing prompts. Pay/time ratio should reflect that. Thought provoking survey. Clearly written, no glitches. Looking forward to a debrief at the conclusion. Hope the data helps! Thank you. ",10.0,10.0,10.0,6.0
632aaef27780d596dc7e0a9f,No comment,10.0,10.0,10.0,2.0
63f0fb9941434d10e8e4909b,"I enjoyed this study very much.  The way it was presented was unique.  The links and buttons that provided more information was a good way to keep the participant focused and engaged.  The only problem is that these types of studies that contain multiple writing tasks can vary wildly in the time it takes to complete.  That all depends on the person taking it, and how long it takes them to express their thoughts.  I see you tried to limit that a bit by asking for only 1-2 sentences, but even then I tend to take much longer than anticipated when I have a lot of writing tasks to do. That's probably exacerbated by the abundance of click-only studies we get, so when you get one that asks us to elaborate on thoughts, we go a little overboard. Not complaining here, just an observation about my own tendencies.  Curious if it's the same for many others.",10.0,10.0,10.0,7.0
5fb69cacddba6408f81a9564,,8.0,8.0,9.0,8.0
627e7b6d33e1df14160c05ba,,10.0,10.0,10.0,10.0
5f8e374790bf7f212e779735,I thought the whole thing was very intriguing,10.0,10.0,10.0,10.0
5b6dbd2384a7760001c9c7fd,,9.0,9.0,8.0,8.0
60fec21e36a05990cfa8a715,,10.0,10.0,10.0,10.0
6435b95691d542284002bc90,"It was rather tiring, a lot of thought involved. ",6.0,7.0,5.0,8.0
6140d7cdf9bc6016591c2878,The instructions were easy to understand. I did not find anything confusing.,10.0,10.0,10.0,8.0
5e3606315bfa435ce4d6246c,,10.0,10.0,8.0,8.0
5e42f74f5b772a18434cabf7,ty interesting study,10.0,10.0,10.0,10.0
63861659d989762ac18f4ace,Everything went well.,10.0,10.0,8.0,8.0
5ff8b291840bed124061d389,,9.0,9.0,10.0,10.0
5c3388fa01439b0001a0adfe,I enjoyed it.,9.0,9.0,10.0,9.0
63eba3f11d699385d1d4075d,It's engaging and went by quickly. ,10.0,10.0,10.0,10.0
5a33d736bf4d770001e6097a,,9.0,10.0,10.0,10.0
5ed2bb7a67d51b24b2ac4037,,10.0,10.0,10.0,10.0
63d672fd60ac772cd04cc33b,,7.0,8.0,8.0,8.0
6482c5058949aa16f72e52ff,,10.0,10.0,10.0,9.0
62348c41368404b2ade8312b,instructions were clear and questions were interesting and different from many of the surveys that I have completed,10.0,10.0,9.0,9.0
60a5717cc2ad303816870f66,It was all good...no issues! Thanks for the study!  :),10.0,9.0,10.0,9.0
58b5e6a0211f4500013aa42a,,9.0,9.0,10.0,10.0
5b96ec3a83bd380001b90417,Nothing was too confusing. Everything went well and I had fun filling this out. ,8.0,9.0,10.0,10.0
575aee8152c3fe00091a6252,,10.0,10.0,9.0,9.0
63fd0a7da4c0df409be0a784,"I thought the original Warhol wasn't worth more than the paper it was on anyhow. Its just paper and paint at the end of the day. We place so much importance on silly things in the modern world. No money for people starving out there, but zillions for a piece of canvas that some guy touched 50 years ago. Amazing.",9.0,9.0,7.0,6.0
616ef680ab8ca318a227f5ec,You should warn about writing. ,9.0,10.0,5.0,6.0
57c304c04814b5000171d4ce,Thanks for the opportunity to participate!,10.0,10.0,9.0,10.0
55b645bbfdf99b1c02906873,,8.0,10.0,6.0,3.0
61034787a79b4a6432034e1e,,9.0,9.0,10.0,9.0
633da98587a07a61250574d4,I do not have a problem with owning a replica of something if I am aware of what it is.,10.0,10.0,10.0,10.0
5d4b265b72db9d0015e8aac6,,7.0,7.0,4.0,4.0
5f4d1371c20934977e621ac3,,10.0,10.0,10.0,10.0
55eb04337480920010aa9e0d,No problems.,10.0,10.0,9.0,8.0
60ae732b911084864713db46,The questions were clear and thought-provoking,9.0,9.0,8.0,9.0
58ac91c38bf22a00015b91b3,,10.0,10.0,6.0,6.0
568c67547374ad000cc7448c,,10.0,10.0,8.0,8.0
5a0c63e15d06850001affd96,I would happily contribute to more studies of this length for this pay. Good luck with your research!,10.0,10.0,10.0,9.0
632f7d0761bce49001d13953,,10.0,10.0,10.0,8.0
608aede3203836ab453453a0,The instructions were clear and the task was easy to complete.,10.0,10.0,9.0,8.0
5c223d4a4a7e1f000137e5b9,,10.0,10.0,10.0,10.0
56b4b565b2de2a000d3316ba,"Great study, better than a lot of garbage that comes through on Prolific, thanks!!",10.0,10.0,10.0,10.0
602d3534af703b6fe8b4033d,,9.0,10.0,8.0,8.0
63092403fcc6e9f47ffa04dc,The video did not buffer correctly and took extra time.  Seemed superfluous anyway. ,8.0,8.0,7.0,8.0
63bdd0745fa04b7ce44bb161,"Interesting, different study. It was very clear to me. ",8.0,9.0,8.0,8.0
558fff05fdf99b3f7aada357,,9.0,6.0,5.0,6.0
63b744d6c92e283f8b15993a,,10.0,9.0,9.0,7.0
6272f2124c61474d78e12c09,I felt that it required much more time than stated to properly complete it. ,8.0,9.0,7.0,7.0
63d698af12a4d488c5fdf05a,,9.0,9.0,4.0,9.0
6111d3aa2e12fb09c474a445,,6.0,6.0,5.0,6.0
5be8d4af25507300010dd4e4,It was interesting. Thank you!,10.0,9.0,9.0,8.0
631685f7d6d6fcb196e87f0a,The study is great.,10.0,10.0,10.0,10.0
5eaecc764f192c59d0e8de52,,10.0,10.0,9.0,9.0
5f0632802b566a17e81a5f5f,I UNDERSTOOD MOST OF IT AND IT WAS A LITTLE BIT CHALLENGING BUT I ENJOY THAT SO THANK YOU!,9.0,8.0,9.0,10.0
6400e78d52d3311f5456d932,This study was perfectly fine,10.0,10.0,10.0,10.0
5fed6c9c0d786daf31f29f3d,"I think the instruction and feedback could be more simplify. It’s not difficult to understand at all, but when it’s made too long, people might skim over instead of reading it carefully",10.0,10.0,10.0,10.0
610ab7055a71ce72c0d66269,,9.0,10.0,10.0,10.0
6044dfc230e44b5793804ba6,,9.0,9.0,5.0,5.0
5d851419d126db0001cf0396,That was really interesting. ,10.0,10.0,10.0,10.0
5beccd423b6489000156596f,,10.0,10.0,10.0,10.0
64458baefb18eef526894aa3,,8.0,9.0,9.0,5.0
60b7bd75af8c92afa748324f,This was an interesting study.  I enjoyed it more than many of the types I usually do.,10.0,10.0,10.0,10.0
60ae54561666056b2558ba4d,,8.0,8.0,8.0,10.0
5d08f7e3c97bc4001a7ea90b,,9.0,10.0,10.0,10.0
6317ac941faaf331c4573eab,Everything was good! the art forgery video was very interesting,9.0,9.0,10.0,10.0
636149c88d2d393decf957f7,enjoy life,10.0,10.0,10.0,10.0
5e307edef5abed05e1736185,,10.0,10.0,10.0,10.0
607d6ad963c2b4e855ae2a06,it seemed too wordy,6.0,6.0,5.0,5.0
5e6d8c46f93a0c35d1f82335,,10.0,10.0,8.0,8.0
56f873d73592c7000b04d6fe,,8.0,9.0,9.0,9.0
64136bf30b27746cb96f7db8,I did my best to think outside of the box and make the choice which I thought is the most appropriate one. I truly hope it would be helpful for you. Good luck to you with your research. ,9.0,9.0,9.0,7.0
62e02537aeee3cf7f450869e,i think the study was well put together,10.0,10.0,10.0,10.0
5db783d50fcd4a000b1021e9,,9.0,9.0,9.0,9.0
5ea48ae3461d1044f2d282cc,,9.0,10.0,10.0,9.0
611465b0cdf9e7bb34a05898,"Everything ran smoothly besides the Andy Warhol video. I was not allowed to click on the play button and actually have it play any audio or media. That was the only problem, everything else was perfect. ",10.0,10.0,8.0,10.0
61705235c277934df17055e6,Everything worked great and was clear. Thank you very much and good luck with the study results.,10.0,10.0,10.0,10.0
62896076149e8f156545884c,Overall the study was pretty clear to understand.  I would like to see a progress bar in future studies.,9.0,10.0,9.0,9.0
5fdca41ecb769722e2266d8a,"I found this survey quite interesting and thoughtful, thanks!",10.0,10.0,10.0,10.0
55ca03e1fdf99b2735fc1dde,Easy enough.  Thanks,9.0,9.0,9.0,9.0
5bc151ece6491a00013a21f3,"Everything was clear, thanks.",10.0,10.0,10.0,10.0
615880a66bc32302998866d9,,8.0,9.0,8.0,8.0
5ced23c585712e00190bd98a,,10.0,10.0,10.0,10.0
60f2a2b4932fed5326988e0f,Some of the questions were hard and I did not really explain myself that well so if my answers are not good enough just message me on prolific and I will return this study.,7.0,7.0,9.0,10.0
609550ebd2fd05085720eca0,,9.0,9.0,10.0,10.0
5d0bb1874d659a0001391226,went well,10.0,10.0,10.0,8.0
5d63179aa3b94d0001da4bb6,"This was very interesting, quite different and enjoyable to take part in. Thank you.",10.0,10.0,10.0,10.0
58635484a73baa00010db537,"I felt comfortable with the instructions, they weren't too overbearing and they were straight forward. I think they were explained very well and I wasn't confused at all during the instructions.",10.0,10.0,9.0,6.0
5ce9c6df6b2b3d001a94b24f,,10.0,10.0,7.0,7.0
63767a851344bd887e00249e,,9.0,10.0,9.0,7.0
6318be45a49442eee3a88cb3,,10.0,10.0,10.0,10.0
5d16ab9b59da87001ac41a61,,10.0,10.0,10.0,10.0
5ecc6fb87c7c7646490f3cf8,,10.0,10.0,9.0,5.0
61008174621af4fde89d5c7f,,10.0,10.0,10.0,10.0
5dd3d566e05cad3b130de19a,,9.0,9.0,10.0,9.0
628bb31571a8935ee2dbd6f9,,10.0,10.0,10.0,10.0
6144f1e19b9f9b42cd4647b0,,10.0,10.0,10.0,10.0
56bfba439f7a1e000afdcba9,nothing was confusing,8.0,9.0,8.0,7.0
5ac5300f9534ba0001c7446b,,10.0,10.0,10.0,10.0
6390a0e1aa5654301da0c865,I enjoyed this study !,10.0,10.0,10.0,10.0
5fe112243ce806b5704eca6e,,10.0,10.0,10.0,10.0
5d2a3561d3edf900018016a1,Everything worked well and the directions were explained very clearly! ,10.0,10.0,10.0,10.0
59a1ddac5dfd6b000152601f,Interesting study.,8.0,8.0,9.0,9.0
642b00a2650a286366bd62fb,thanks for the fun study,10.0,10.0,9.0,9.0
6447e654bd6048df347afcc2,I think it was clear.,8.0,8.0,9.0,8.0
60469275f75cd607f61fb973,,10.0,10.0,10.0,7.0
627286792f25495f123cc27b,,9.0,9.0,8.0,9.0
63978402e524eebeace93868,All was well. ,9.0,10.0,8.0,8.0
63b75b3eace44d9b4bbe411d,,9.0,10.0,10.0,9.0
6296290ec41bde1525dbb77e,Remove the writing parts,5.0,4.0,2.0,4.0
580670eceee5dc00017584c6,,10.0,10.0,10.0,10.0
63d42c21dc6f4d60e34cc337,,10.0,10.0,10.0,10.0
570bc1ffb9b52b00102db939,Everything seemed fine.,10.0,10.0,10.0,8.0
5f888f1504ea37030833e9ec,,10.0,10.0,10.0,10.0
60ec601b8525af507f06373d,,10.0,10.0,10.0,10.0
63114fcf2fc8f4d507560901,,9.0,10.0,10.0,9.0
5b9ed139cbabef00011756d3,Thanks for having me!,10.0,10.0,10.0,9.0
55a7f195fdf99b7508d7d886,Thanks for the opportunity.,10.0,10.0,10.0,10.0
63d13f416b2c25038c13007f,I was comfortable.   It was a fun study.  I hope Alex gets his books. :),9.0,9.0,9.0,9.0
63e52250d3c1483ed7be8ed8,,10.0,10.0,10.0,9.0
5fc6bf2fa7c6583abedfaf73,The study was comprehensive and easy to follow.  It was interesting.,8.0,9.0,10.0,10.0
63ea5be8b2ca91384436e184,Fun Study - Thanks!,10.0,10.0,10.0,10.0
5ba184ad35768a0001437bdc,,10.0,10.0,9.0,10.0
55b645b1fdf99b1c02906872,"I'm not entirely sure whether Alex would get the money if the notes were fake, or in either case based on my choice.",8.0,10.0,10.0,10.0
5cb489ff0cd1ed0017465d19,I felt comfortable with everything in the study and really enjoyed it.,10.0,10.0,10.0,9.0
63d2094a50ed63bfb3b19fd4,"Now that I see the whole study I think I may have gone back and changed my answer to what Alex should have received again. I think if Alex knows he received the fake note, he should have a greater bonus than if he never knew.",5.0,7.0,8.0,9.0
5ac4c721e1099600016a823b,Thank you for the study!,10.0,10.0,10.0,10.0
586ad3a6da731b0001049cad,,9.0,10.0,9.0,7.0
5e2de92d8844873da01af947,,10.0,10.0,10.0,10.0
60b575de24d596147b9b1e40,,8.0,9.0,9.0,9.0
5a93bb216475f900019fa294,"It was an interesting survey for a change; I liked it.  I say this all of the time:  Even though my brain may not know the difference between watching videos of Italy on YouTube, as opposed to actually having real memories of visiting Italy, I will always want to have the physical experience.  ",10.0,10.0,10.0,10.0
5a89cc2c000dab00018cbd38,,8.0,10.0,10.0,9.0
610971ac8159690397a047c5,"A very interesting study. The instructions felt like they went on too long without examples of how the info would be relevant, until the actual exercise started. ",8.0,10.0,10.0,9.0
63f82a4ff43ec144ca3622a8,,10.0,10.0,10.0,9.0
646bbfb77ab727d9c05dd0da,,10.0,10.0,9.0,10.0
5fec060b5ce3ae867e64cfb3,,9.0,10.0,9.0,9.0
61255c5cd3dc2cfd8fbc101d,"reading the instructions was a little intimidating because they were a bit complicated, but once I advanced to the actual decision screens, everything was perfectly clear.",9.0,9.0,10.0,10.0
5df2f2ed4c81b2201c6c782e,"I dont think the instructions were confusing but it took me a bit to really comprehend them, but that's on me, its early and I got little sleep.",9.0,10.0,9.0,9.0
63f77db037de29d7fd62b0a9,,7.0,7.0,7.0,7.0
622a11c552b2b35bab72a39c,,9.0,10.0,10.0,8.0
63038702fea51556c37c36cf,this was a cool study! it was nice to face some really thought provoking questions - good luck with your research!,10.0,10.0,10.0,10.0
645abc0f7fa6368e6df2d973,"This required a lot more thought and writing than similarly compensated studies. It was kind of interesting, so I completed it. ",4.0,9.0,5.0,3.0
5f402eb4fbd8df145068b805,"Next time, do a painting or drawing that is more realistic in nature for the study takers that do not like the ""isms"" of art.",10.0,10.0,10.0,10.0
56721761980a3c0011277389,The video didn't play. I received a pop up from my virus software so it may have been blocked.,8.0,9.0,9.0,7.0
627936b58e6416782149ddcb,"Great study, it was well made, and fun! :)",10.0,10.0,10.0,10.0
59014ee029f42300013cc5b7,I think it was quick and simple but maybe put in the description about the writing tasks as many of us don't like them or feel they should be paid out higher. I personally didn't mind it,10.0,10.0,10.0,8.0
5bc8897f462bdb0001a61426,fun and engaging,10.0,10.0,10.0,10.0
5e9f877ee0b0960f3d2b6d30,,10.0,10.0,10.0,10.0
631916c5e920aea5076777b0,"I've done.. way too many.. studies on prolific and this was one of the best ones in weeks. Thanks ! Really enjoyable, clear instructions and engaging content. ",10.0,10.0,10.0,10.0
5623f187ed6e5a0011c81083,,8.0,9.0,7.0,8.0
5a01ddf3728b1b0001ad8ad0,The instructions were very easy to understand.,10.0,10.0,9.0,8.0
63bd8c8f03965fcab1bbb917,,10.0,10.0,10.0,10.0
60cb3c4b9454f7a196355088,The instructions were clear and straight forward.,10.0,10.0,9.0,10.0
5d30d94d6c17550001d3ba17,The instructions were pretty clear to me.  Best of luck with your research,9.0,9.0,10.0,10.0
63d2cb67dfc2a799bbd30c69,Thank you,10.0,10.0,10.0,9.0
5f888a84d0200d03067e17ed,,10.0,10.0,10.0,5.0
63d3f99e6aab19fe9a92028e,"This was interesting, thanks!! ",10.0,8.0,10.0,10.0
63cff43985317bac287a325f,,9.0,9.0,10.0,10.0
64415b7be32cc28f3d0364a7,,10.0,8.0,8.0,9.0
57bf14513c449a000189c89a,Instructions are pretty dense. It's not a fun experience.,7.0,8.0,5.0,4.0
63f6ac6d4ce41fa2a87ea79b,Pretty simple,9.0,10.0,10.0,9.0
58578946c41fd90001434680,I didn't have any problems.,10.0,10.0,10.0,10.0
62e0532289a4e5d9fedadde1,"Thank you for the study, I found the last several questions interesting to ponder.",9.0,8.0,9.0,10.0
